dutch,english,topic,section,example
prijs,price,Topic 5,Note in Apartment,Ik zie prijs.
schoonmaken,to clean,Topic 5,Note in Apartment,Ik ga schoonmaken.
sleutel,key,Topic 5,Note in Apartment,Ik zie sleutel.
spullen,stuff,Topic 5,Note in Apartment,Ik ga spullen.
stoel,chair,Topic 5,Note in Apartment,Ik zie stoel.
student,student,Topic 5,Note in Apartment,Ik zie student.
tweedehands,second-hand,Topic 5,Note in Apartment,Ik zie tweedehands.
verhuizen,to move,Topic 5,Note in Apartment,Ik ga verhuizen.
verkopen,to sell,Topic 5,Note in Apartment,Ik ga verkopen.
zoeken,to search,Topic 5,Note in Apartment,Ik ga zoeken.
belangrijk,important,Topic 5,A lovely house,Ik zie belangrijk.
blauw,blue,Topic 5,A lovely house,Ik zie blauw.
donker,dark,Topic 5,A lovely house,Ik zie donker.
iedereen,everyone,Topic 5,A lovely house,Ik ga iedereen.
kast,cabinet,Topic 5,A lovely house,Ik zie kast.
kiezen,to choose,Topic 5,A lovely house,Ik ga kiezen.
kleding,clothing,Topic 5,A lovely house,Ik zie kleding.
kleur,colour,Topic 5,A lovely house,Ik zie kleur.
la,drawer,Topic 5,A lovely house,Ik zie la.
lamp,lamp,Topic 5,A lovely house,Ik zie lamp.
licht,light,Topic 5,A lovely house,Ik zie licht.
meubel,furniture,Topic 5,A lovely house,Ik zie meubel.
muur,wall,Topic 5,A lovely house,Ik zie muur.
onder,beneath,Topic 5,A lovely house,Ik zie onder.
raam,window,Topic 5,A lovely house,Ik zie raam.
ruimte,space,Topic 5,A lovely house,Ik zie ruimte.
tegen,against,Topic 5,A lovely house,Ik ga tegen.
tip,tip,Topic 5,A lovely house,Ik zie tip.
vloer,floor,Topic 5,A lovely house,Ik zie vloer.
vol,full,Topic 5,A lovely house,Ik zie vol.
vooral,particularly,Topic 5,A lovely house,Ik zie vooral.
wit,white,Topic 5,A lovely house,Ik zie wit.
woning,home,Topic 5,A lovely house,Ik zie woning.
woonkamer,living room,Topic 5,A lovely house,Ik zie woonkamer.
zetten,to put,Topic 5,A lovely house,Ik ga zetten.
zorgen voor,to create,Topic 5,A lovely house,Ik zie zorgen voor.
allebei,both,Topic 5,Rooms,Ik zie allebei.
allemaal,all,Topic 5,Rooms,Ik zie allemaal.
elkaar,each other,Topic 5,Rooms,Ik zie elkaar.
geld,money,Topic 5,Rooms,Ik zie geld.
gratis,free,Topic 5,Rooms,Ik zie gratis.
huren,to rent,Topic 5,Rooms,Ik ga huren.
lang,long,Topic 5,Rooms,Ik zie lang.
makkelijk,easy,Topic 5,Rooms,Dat is makkelijk.
meeste,most,Topic 5,Rooms,Ik zie meeste.
moeilijk,difficult,Topic 5,Rooms,Dat is moeilijk.
ouder,parent,Topic 5,Rooms,Ik zie ouder.
procent,percent,Topic 5,Rooms,Ik zie procent.
sparen,to save,Topic 5,Rooms,Ik ga sparen.
streng,strict,Topic 5,Rooms,Ik zie streng.
studeren,to study,Topic 5,Rooms,Ik ga studeren.
studie,study,Topic 5,Rooms,Ik zie studie.
uitstappen,to get off,Topic 5,Rooms,Ik ga uitstappen.
vinden,to find,Topic 5,Rooms,Waar kan ik brood vinden?
vrijheid,freedom,Topic 5,Rooms,Ik zie vrijheid.
wachten,to wait,Topic 5,Rooms,Ik ga wachten.
was,laundry,Topic 5,Rooms,Ik zie was.
wasmachine,washing machine,Topic 5,Rooms,Ik zie wasmachine.
zelfstandig,independent,Topic 5,Rooms,Het is zelfstandig weer.
zomer,summer,Topic 5,Rooms,Ik zie zomer.
aankomen,to arrive,Topic 6,How late is the train,Ik ga aankomen.
aankomst,arrival,Topic 6,How late is the train,Ik zie aankomst.
bedankt,thanks,Topic 6,How late is the train,Ik zie bedankt.
centraal,central,Topic 6,How late is the train,Ik zie centraal.
direct,direct,Topic 6,How late is the train,Ik zie direct.
gelukkig,luckily,Topic 6,How late is the train,Het is gelukkig weer.
intercity,intercity train,Topic 6,How late is the train,Ik zie intercity.
minuut,minute,Topic 6,How late is the train,Ik zie minuut.
nergens,nowhere,Topic 6,How late is the train,Ik zie nergens.
normaal,normally,Topic 6,How late is the train,Ik zie normaal.
opletten,to pay attention,Topic 6,How late is the train,Ik ga opletten.
overstappen,to change,Topic 6,How late is the train,Ik ga overstappen.
reiziger,traveller,Topic 6,How late is the train,Ik zie reiziger.
spoor,platform,Topic 6,How late is the train,Ik zie spoor.
sprinter,sprinter train,Topic 6,How late is the train,Ik zie sprinter.
station,station,Topic 6,How late is the train,Ik zie station.
tas,bag,Topic 6,How late is the train,Ik zie tas.
telefoon,telephone,Topic 6,How late is the train,Ik zie telefoon.
verbinding,connection,Topic 6,How late is the train,Ik zie verbinding.
verstaan,to hear,Topic 6,How late is the train,Ik zie verstaan.
vertraging,delay,Topic 6,How late is the train,Ik zie vertraging.
vertrek,departure,Topic 6,How late is the train,Ik zie vertrek.
vertrekken,to leave,Topic 6,How late is the train,Ik ga vertrekken.
volgende,next one,Topic 6,How late is the train,Ik zie volgende.
dochter,daughter,Topic 6,Can I ask you a question?,Ik zie dochter.
duidelijk,clear,Topic 6,Can I ask you a question?,Dat is duidelijk.
eerst,first,Topic 6,Can I ask you a question?,Ik zie eerst.
eventueel,possibly,Topic 6,Can I ask you a question?,Ik zie eventueel.
geloven,to believe,Topic 6,Can I ask you a question?,Ik ga geloven.
idee,idea,Topic 6,Can I ask you a question?,Ik zie idee.
kleren,clothes,Topic 6,Can I ask you a question?,Ik ga kleren.
links,left,Topic 6,Can I ask you a question?,Ik zie links.
linksaf,turn left,Topic 6,Can I ask you a question?,Ik zie linksaf.
lopen,to walk,Topic 6,Can I ask you a question?,Ik ga lopen in het park.
mam,mum,Topic 6,Can I ask you a question?,Ik zie mam.
mezelf,myself,Topic 6,Can I ask you a question?,Ik zie mezelf.
naartoe,(where) to,Topic 6,Can I ask you a question?,Ik zie naartoe.
plattegrond,map,Topic 6,Can I ask you a question?,Ik zie plattegrond.
rechtdoor,straight ahead,Topic 6,Can I ask you a question?,Ik zie rechtdoor.
rechterkant,right side,Topic 6,Can I ask you a question?,Ik zie rechterkant.
rechts,right,Topic 6,Can I ask you a question?,Ik zie rechts.
rechtsaf,turn right,Topic 6,Can I ask you a question?,Ik zie rechtsaf.
route,route,Topic 6,Can I ask you a question?,Ik zie route.
slim,smart,Topic 6,Can I ask you a question?,Ik zie slim.
stuk,bit,Topic 6,Can I ask you a question?,Ik zie stuk.
tegenover,opposite,Topic 6,Can I ask you a question?,Ik zie tegenover.
tekenen,to draw,Topic 6,Can I ask you a question?,Ik ga tekenen.
terug,back,Topic 6,Can I ask you a question?,Ik zie terug.
tijdje,while,Topic 6,Can I ask you a question?,Ik zie tijdje.
uitleggen,to explain,Topic 6,Can I ask you a question?,Ik ga uitleggen.
winkelen,to shop,Topic 6,Can I ask you a question?,Ik ga winkelen.
auto,car,Topic 6,Sorry I will be late,Ik zie auto.
bus,bus,Topic 6,Sorry I will be late,Ik zie bus.
collega,colleague,Topic 6,Sorry I will be late,Ik zie collega.
docent,teacher,Topic 6,Sorry I will be late,Ik zie docent.
enorm,enormous,Topic 6,Sorry I will be late,Ik zie enorm.
excuses,apologies,Topic 6,Sorry I will be late,Ik zie excuses.
fiets,bicycle,Topic 6,Sorry I will be late,Ik zie fiets.
file,traffic jam,Topic 6,Sorry I will be late,Ik zie file.
gewoon,simply,Topic 6,Sorry I will be late,Ik zie gewoon.
griep,flu,Topic 6,Sorry I will be late,Ik zie griep.
helaas,unfortunately,Topic 6,Sorry I will be late,Ik zie helaas.
kantoor,office,Topic 6,Sorry I will be late,Ik zie kantoor.
liggen,to lie,Topic 6,Sorry I will be late,De sleutels liggen op tafel.
manager,manager,Topic 6,Sorry I will be late,Ik zie manager.
na,after,Topic 6,Sorry I will be late,Ik zie na.
ongeluk,accident,Topic 6,Sorry I will be late,Ik zie ongeluk.
pas,only,Topic 6,Sorry I will be late,Ik zie pas.
rijden,to drive,Topic 6,Sorry I will be late,Ik ga rijden.
sturen,to send,Topic 6,Sorry I will be late,Ik ga sturen.
tram,tram,Topic 6,Sorry I will be late,Ik zie tram.
vergadering,meeting,Topic 6,Sorry I will be late,Ik zie vergadering.
verhuizing,move,Topic 6,Sorry I will be late,Ik zie verhuizing.
vriendelijk,kind,Topic 6,Sorry I will be late,Dat is vriendelijk.
werk,work,Topic 6,Sorry I will be late,Ik zie werk.
benzine,gasoline,Topic 6,How do you travel,Ik zie benzine.
duren,to last,Topic 6,How do you travel,Ik ga duren.
erg,very,Topic 6,How do you travel,Ik zie erg.
halte,stop,Topic 6,How do you travel,Ik zie halte.
handig,handy,Topic 6,How do you travel,Het is handig weer.
haten,to hate,Topic 6,How do you travel,Ik ga haten.
helemaal,at all,Topic 6,How do you travel,Ik zie helemaal.
irritant,irritating,Topic 6,How do you travel,Ik zie irritant.
kosten,costs,Topic 6,How do you travel,Ik ga kosten.
kou,cold,Topic 6,How do you travel,Ik zie kou.
milieu,environment,Topic 6,How do you travel,Ik zie milieu.
nieuwsbrief,newsletter,Topic 6,How do you travel,Ik zie nieuwsbrief.
ov,public transport,Topic 6,How do you travel,Ik zie ov.
parkeren,to park,Topic 6,How do you travel,Ik ga parkeren.
prettig,convenient,Topic 6,How do you travel,Het is prettig weer.
reistijd,travel time,Topic 6,How do you travel,Ik zie reistijd.
rijbewijs,driving licence,Topic 6,How do you travel,Ik zie rijbewijs.
rit,drive,Topic 6,How do you travel,Ik zie rit.
slecht,bad,Topic 6,How do you travel,Ik zie slecht.
stoppen,to stop,Topic 6,How do you travel,Ik ga stoppen.
treinkaartje,train ticket,Topic 6,How do you travel,Ik zie treinkaartje.
verhaal,story,Topic 6,How do you travel,Ik zie verhaal.
want,because,Topic 6,How do you travel,Ik zie want.
winter,winter,Topic 6,How do you travel,Ik zie winter.
zelfs,even,Topic 6,How do you travel,Ik zie zelfs.
assistente,assistant,Topic 7,Consultation Hours,Ik zie assistente.
behandelen,to treat,Topic 7,Consultation Hours,Ik ga behandelen.
dokter,doctor,Topic 7,Consultation Hours,Ik zie dokter.
dubbel,double,Topic 7,Consultation Hours,Ik zie dubbel.
een paar,a few,Topic 7,Consultation Hours,Ik zie een paar.
ernstig,serious,Topic 7,Consultation Hours,Het is ernstig weer.
gegevens,data,Topic 7,Consultation Hours,Ik zie gegevens.
gesloten,closed,Topic 7,Consultation Hours,Ik ga gesloten.
gezondheidszorg,healthcare,Topic 7,Consultation Hours,Ik zie gezondheidszorg.
huisarts,general practitioner,Topic 7,Consultation Hours,Ik zie huisarts.
huisartsenpost,GP out-of-hours service,Topic 7,Consultation Hours,Ik zie huisartsenpost.
klacht,complaint,Topic 7,Consultation Hours,Ik zie klacht.
kort,short,Topic 7,Consultation Hours,Ik zie kort.
onderzoek,examination,Topic 7,Consultation Hours,Ik zie onderzoek.
praktijk,practice,Topic 7,Consultation Hours,Ik zie praktijk.
sommige,some,Topic 7,Consultation Hours,Ik zie sommige.
specialist,specialist,Topic 7,Consultation Hours,Ik zie specialist.
spoed,emergency,Topic 7,Consultation Hours,Ik zie spoed.
spoedgeval,emergency case,Topic 7,Consultation Hours,Ik zie spoedgeval.
spreekuur,consultation hour,Topic 7,Consultation Hours,Ik zie spreekuur.
toetsen,to press (a key),Topic 7,Consultation Hours,Ik ga toetsen.
verwijzing,referral,Topic 7,Consultation Hours,Ik zie verwijzing.
via,through,Topic 7,Consultation Hours,Ik zie via.
ziekenhuis,hospital,Topic 7,Consultation Hours,Ik zie ziekenhuis.
brengen,to bring,Topic 7,Making Appointment,Ik ga brengen.
dag,day,Topic 7,Making Appointment,Ik zie dag.
eigenlijk,actually,Topic 7,Making Appointment,Dat is eigenlijk.
geduld,patience,Topic 7,Making Appointment,Ik zie geduld.
graad,degree,Topic 7,Making Appointment,Ik zie graad.
hoesten,to cough,Topic 7,Making Appointment,Ik ga hoesten.
keel,throat,Topic 7,Making Appointment,Ik zie keel.
keelpijn,sore throat,Topic 7,Making Appointment,Ik zie keelpijn.
koorts,fever,Topic 7,Making Appointment,Ik zie koorts.
lijn,line,Topic 7,Making Appointment,Ik zie lijn.
mogelijk,possible,Topic 7,Making Appointment,Dat is mogelijk.
moment,moment,Topic 7,Making Appointment,Ik zie moment.
ogenblik,moment,Topic 7,Making Appointment,Ik zie ogenblik.
opnieuw,again,Topic 7,Making Appointment,Ik zie opnieuw.
overgaan,to pass,Topic 7,Making Appointment,Ik zie overgaan.
pijn,pain,Topic 7,Making Appointment,Ik zie pijn.
spijten,to be sorry,Topic 7,Making Appointment,Ik ga spijten.
spreken,to speak,Topic 7,Making Appointment,Ik ga spreken.
vader,father,Topic 7,Making Appointment,Ik zie vader.
vanzelf,on its own,Topic 7,Making Appointment,Ik zie vanzelf.
verkouden,(to have a) cold,Topic 7,Making Appointment,Ik ga verkouden.
verzetten,to reschedule,Topic 7,Making Appointment,Ik ga verzetten.
vrij,free,Topic 7,Making Appointment,Ik zie vrij.
apotheek,pharmacy,Topic 7,Pharmacy,Ik zie apotheek.
bijsluiter,leaflet,Topic 7,Pharmacy,Ik zie bijsluiter.
doos,box,Topic 7,Pharmacy,Ik zie doos.
dosering,dosage,Topic 7,Pharmacy,Ik zie dosering.
drogist,drugstore,Topic 7,Pharmacy,Ik zie drogist.
gebruik,use,Topic 7,Pharmacy,Ik zie gebruik.
huismerk,private label,Topic 7,Pharmacy,Ik zie huismerk.
jong,young,Topic 7,Pharmacy,Ik zie jong.
kant,side,Topic 7,Pharmacy,Ik zie kant.
leeftijd,age,Topic 7,Pharmacy,Ik zie leeftijd.
luier,diaper,Topic 7,Pharmacy,Ik zie luier.
maar,only,Topic 7,Pharmacy,Ik zie maar.
maximaal,maximally,Topic 7,Pharmacy,Ik zie maximaal.
medicijn,drug,Topic 7,Pharmacy,Ik zie medicijn.
merk,brand,Topic 7,Pharmacy,Ik zie merk.
milligram,milligram,Topic 7,Pharmacy,Ik zie milligram.
naast,next to,Topic 7,Pharmacy,Ik zie naast.
neus,nose,Topic 7,Pharmacy,Ik zie neus.
neusspray,nasal spray,Topic 7,Pharmacy,Ik zie neusspray.
pijnstiller,painkiller,Topic 7,Pharmacy,Ik zie pijnstiller.
proberen,to try,Topic 7,Pharmacy,Ik ga proberen.
recept,prescription,Topic 7,Pharmacy,Ik zie recept.
rug,back,Topic 7,Pharmacy,Ik zie rug.
verder,further,Topic 7,Pharmacy,Ik zie verder.
verschil,difference,Topic 7,Pharmacy,Ik zie verschil.
wakker,awake,Topic 7,Pharmacy,Ik zie wakker.
wc-papier,toilet paper,Topic 7,Pharmacy,Ik zie wc-papier.
zoon,son,Topic 7,Pharmacy,Ik zie zoon.
zwaar,heavy,Topic 7,Pharmacy,Ik zie zwaar.
alcohol,alcohol,Topic 7,Prescription,Ik zie alcohol.
bewaren,to save,Topic 7,Prescription,Ik ga bewaren.
bijwerking,side effect,Topic 7,Prescription,Ik zie bijwerking.
borstvoeding,breastfeeding,Topic 7,Prescription,Ik zie borstvoeding.
boven,above,Topic 7,Prescription,Ik ga boven.
contact,contact,Topic 7,Prescription,Ik zie contact.
erg,very,Topic 7,Prescription,Ik zie erg.
glas,glass,Topic 7,Prescription,Ik zie glas.
hardlopen,to run,Topic 7,Prescription,Ik ga hardlopen.
innemen,to take,Topic 7,Prescription,Ik ga innemen.
knie,knee,Topic 7,Prescription,Ik zie knie.
maal,times,Topic 7,Prescription,Ik zie maal.
maaltijd,meal,Topic 7,Prescription,Ik zie maaltijd.
misselijk,nauseous,Topic 7,Prescription,Dat is misselijk.
nacht,night,Topic 7,Prescription,Ik zie nacht.
pil,pill,Topic 7,Prescription,Ik zie pil.
slaappil,sleeping pill,Topic 7,Prescription,Ik zie slaappil.
stress,stress,Topic 7,Prescription,Ik zie stress.
tablet,tablet,Topic 7,Prescription,Ik zie tablet.
tegelijk,at the same time,Topic 7,Prescription,Dat is tegelijk.
tijdens,during,Topic 7,Prescription,Ik zie tijdens.
verpakking,packaging,Topic 7,Prescription,Ik zie verpakking.
zwangerschap,pregnancy,Topic 7,Prescription,Ik zie zwangerschap.
afwas,dishes,Topic 8,Ideal house,Ik zie afwas.
bewoner,resident,Topic 8,Ideal house,Ik zie bewoner.
boos,angry,Topic 8,Ideal house,Ik zie boos.
eerlijk,fair,Topic 8,Ideal house,Dat is eerlijk.
geluk,luck,Topic 8,Ideal house,Ik zie geluk.
gewoonte,habit,Topic 8,Ideal house,Ik zie gewoonte.
hetzelfde,the same,Topic 8,Ideal house,Ik zie hetzelfde.
huishouden,household,Topic 8,Ideal house,Ik ga huishouden.
ideaal,ideal,Topic 8,Ideal house,Ik zie ideaal.
leven,life,Topic 8,Ideal house,Ik wil gezond leven.
muziek,music,Topic 8,Ideal house,Ik zie muziek.
omgeving,environment,Topic 8,Ideal house,Ik zie omgeving.
oplossen,to solve,Topic 8,Ideal house,Ik ga oplossen.
opschieten met,to get along with,Topic 8,Ideal house,Ik zie opschieten met.
overdag,during the day,Topic 8,Ideal house,Ik zie overdag.
rest,rest,Topic 8,Ideal house,Ik zie rest.
roken,to smoke,Topic 8,Ideal house,Ik ga roken.
ruzie,argument,Topic 8,Ideal house,Ik zie ruzie.
schoon,clean,Topic 8,Ideal house,Ik zie schoon.
serieus,serious,Topic 8,Ideal house,Ik zie serieus.
sinds,since,Topic 8,Ideal house,Ik zie sinds.
uitgaan,to go out,Topic 8,Ideal house,Ik zie uitgaan.
verdelen,to divide,Topic 8,Ideal house,Ik ga verdelen.
vies,dirty,Topic 8,Ideal house,Ik zie vies.
weleens,sometimes,Topic 8,Ideal house,Ik zie weleens.
activiteit,activity,Topic 8,Where is taalcafe,Ik zie activiteit.
begane grond,ground floor,Topic 8,Where is taalcafe,Ik zie begane grond.
bibliotheek,library,Topic 8,Where is taalcafe,Ik zie bibliotheek.
buurtcentrum,neighbourhood centre,Topic 8,Where is taalcafe,Ik zie buurtcentrum.
deelnemer,participant,Topic 8,Where is taalcafe,Ik zie deelnemer.
gebeuren,to happen,Topic 8,Where is taalcafe,Ik ga gebeuren.
groep,group,Topic 8,Where is taalcafe,Ik zie groep.
hoeven,to be necessary,Topic 8,Where is taalcafe,Ik ga hoeven.
iemand,someone,Topic 8,Where is taalcafe,Ik zie iemand.
ingang,entrance,Topic 8,Where is taalcafe,Ik zie ingang.
krant,newspaper,Topic 8,Where is taalcafe,Ik zie krant.
medewerkster,female employee,Topic 8,Where is taalcafe,Ik zie medewerkster.
oefenen,to practice,Topic 8,Where is taalcafe,Ik ga oefenen.
onderwerp,subject,Topic 8,Where is taalcafe,Ik zie onderwerp.
organiseren,to organize,Topic 8,Where is taalcafe,Ik ga organiseren.
precies,exactly,Topic 8,Where is taalcafe,Ik zie precies.
spelletje,game,Topic 8,Where is taalcafe,Ik zie spelletje.
taal,language,Topic 8,Where is taalcafe,Ik zie taal.
taalcafé,language cafe,Topic 8,Where is taalcafe,Ik zie taalcafé.
taalcoach,language coach,Topic 8,Where is taalcafe,Ik zie taalcoach.
vanaf,starting at,Topic 8,Where is taalcafe,Ik zie vanaf.
verschillen,to differ,Topic 8,Where is taalcafe,Ik ga verschillen.
voorbereiden,to prepare,Topic 8,Where is taalcafe,Ik ga voorbereiden.
vrijwilliger,volunteer,Topic 8,Where is taalcafe,Ik zie vrijwilliger.
zich aanmelden,to sign up,Topic 8,Where is taalcafe,Ik ga zich aanmelden.
bioscoop,cinema,Topic 8,With neighbours,Ik zie bioscoop.
boom,tree,Topic 8,With neighbours,Ik zie boom.
buitenland,foreign country,Topic 8,With neighbours,Ik zie buitenland.
café,cafe,Topic 8,With neighbours,Ik zie café.
elk,each,Topic 8,With neighbours,Ik zie elk.
film,film,Topic 8,With neighbours,Ik zie film.
gang,corridor,Topic 8,With neighbours,Ik zie gang.
gebouw,building,Topic 8,With neighbours,Ik zie gebouw.
grasveld,lawn,Topic 8,With neighbours,Ik zie grasveld.
groen,green,Topic 8,With neighbours,Ik ga groen.
kletsen,to chat,Topic 8,With neighbours,Ik ga kletsen.
lift,elevator,Topic 8,With neighbours,Ik zie lift.
metro,subway,Topic 8,With neighbours,Ik zie metro.
missen,to miss,Topic 8,With neighbours,Ik ga missen.
openbaar vervoer,public transport,Topic 8,With neighbours,Ik zie openbaar vervoer.
park,park,Topic 8,With neighbours,Ik zie park.
parkeerplaats,parking space,Topic 8,With neighbours,Ik zie parkeerplaats.
regelmatig,regularly,Topic 8,With neighbours,Het is regelmatig weer.
speeltuin,playground,Topic 8,With neighbours,Ik zie speeltuin.
spelen,to play,Topic 8,With neighbours,Ik ga spelen.
struik,bush,Topic 8,With neighbours,Ik zie struik.
tevreden,content,Topic 8,With neighbours,Ik ga tevreden.
verkeer,traffic,Topic 8,With neighbours,Ik zie verkeer.
voetballen,to play football,Topic 8,With neighbours,Ik ga voetballen.
zoveel,that many,Topic 8,With neighbours,Ik zie zoveel.
bang,scared,Topic 8,Discussion with neighbours,Ik zie bang.
blaffen,to bark,Topic 8,Discussion with neighbours,Ik ga blaffen.
buurman,male neighbour,Topic 8,Discussion with neighbours,Ik zie buurman.
gedrag,behaviour,Topic 8,Discussion with neighbours,Ik zie gedrag.
geluid,sound,Topic 8,Discussion with neighbours,Ik zie geluid.
hond,dog,Topic 8,Discussion with neighbours,Ik zie hond.
huisdier,pet,Topic 8,Discussion with neighbours,Ik zie huisdier.
ineens,suddenly,Topic 8,Discussion with neighbours,Ik zie ineens.
klagen,to complain,Topic 8,Discussion with neighbours,Ik ga klagen.
laten,to leave,Topic 8,Discussion with neighbours,Ik ga laten.
oplossing,solution,Topic 8,Discussion with neighbours,Ik zie oplossing.
overlast,nuisance,Topic 8,Discussion with neighbours,Ik zie overlast.
overleggen,to discuss,Topic 8,Discussion with neighbours,Ik ga overleggen.
schuld,debt,Topic 8,Discussion with neighbours,Ik zie schuld.
situatie,situation,Topic 8,Discussion with neighbours,Ik zie situatie.
stinken,to stink,Topic 8,Discussion with neighbours,Ik ga stinken.
trap,stairs,Topic 8,Discussion with neighbours,Ik zie trap.
uitlaten,to walk (a dog),Topic 8,Discussion with neighbours,Ik ga uitlaten.
veroorzaken,to cause,Topic 8,Discussion with neighbours,Ik ga veroorzaken.
vuilniszak,trash bag,Topic 8,Discussion with neighbours,Ik zie vuilniszak.
waarschijnlijk,probably,Topic 8,Discussion with neighbours,Dat is waarschijnlijk.
wennen,to get used to,Topic 8,Discussion with neighbours,Ik ga wennen.
woningbouwvereniging,housing association,Topic 8,Discussion with neighbours,Ik zie woningbouwvereniging.
zielig,sad,Topic 8,Discussion with neighbours,Het is zielig weer.
zomaar,just like that,Topic 8,Discussion with neighbours,Ik zie zomaar.
aandoen,to put on,Topic 9,What will you wear,Ik ga aandoen.
aantrekken,to put on,Topic 9,What will you wear,Ik ga aantrekken.
bedoelen,to mean,Topic 9,What will you wear,Ik ga bedoelen.
benieuwd,curious,Topic 9,What will you wear,Ik zie benieuwd.
blouse,blouse,Topic 9,What will you wear,Ik zie blouse.
broek,trousers,Topic 9,What will you wear,Ik zie broek.
bruiloft,wedding,Topic 9,What will you wear,Ik zie bruiloft.
dragen,to wear,Topic 9,What will you wear,Ik ga dragen.
geel,yellow,Topic 9,What will you wear,Ik zie geel.
jurk,dress,Topic 9,What will you wear,Ik zie jurk.
kaart,card,Topic 9,What will you wear,Ik zie kaart.
lelijk,ugly,Topic 9,What will you wear,Dat is lelijk.
lievelings,favourite,Topic 9,What will you wear,Ik zie lievelings.
mening,opinion,Topic 9,What will you wear,Ik zie mening.
nadenken,to think about,Topic 9,What will you wear,Ik ga nadenken.
niets,nothing,Topic 9,What will you wear,Ik zie niets.
overhemd,shirt,Topic 9,What will you wear,Ik zie overhemd.
pak,suit,Topic 9,What will you wear,Ik zie pak.
prachtig,beautiful,Topic 9,What will you wear,Het is prachtig weer.
rood,red,Topic 9,What will you wear,Ik zie rood.
roze,pink,Topic 9,What will you wear,Ik zie roze.
schoen,shoe,Topic 9,What will you wear,Ik ga schoen.
spijkerbroek,jeans,Topic 9,What will you wear,Ik zie spijkerbroek.
trouwen,to marry,Topic 9,What will you wear,Ik ga trouwen.
trui,sweater,Topic 9,What will you wear,Ik zie trui.
uitgeven,to spend,Topic 9,What will you wear,Ik ga uitgeven.
aanbieding,special offer,Topic 9,Goods return,Ik zie aanbieding.
aankoop,purchase,Topic 9,Goods return,Ik zie aankoop.
algemeen,general,Topic 9,Goods return,Ik ga algemeen.
bankafschrift,bank statement,Topic 9,Goods return,Ik zie bankafschrift.
bepaald,certain,Topic 9,Goods return,Ik zie bepaald.
binnen,within,Topic 9,Goods return,Ik ga binnen.
contant,in cash,Topic 9,Goods return,Ik zie contant.
garantie,warranty,Topic 9,Goods return,Ik zie garantie.
gelden,to apply,Topic 9,Goods return,Ik ga gelden.
houden,to keep,Topic 9,Goods return,Ik ga houden.
kapotgaan,to become defective,Topic 9,Goods return,Ik zie kapotgaan.
kassabon,receipt,Topic 9,Goods return,Ik zie kassabon.
klantenservice,customer service,Topic 9,Goods return,Ik zie klantenservice.
namelijk,namely,Topic 9,Goods return,Dat is namelijk.
origineel,original,Topic 9,Goods return,Ik zie origineel.
pinpas,debit card,Topic 9,Goods return,Ik zie pinpas.
product,product,Topic 9,Goods return,Ik zie product.
reparatie,repair,Topic 9,Goods return,Ik zie reparatie.
ruilen,to exchange,Topic 9,Goods return,Ik ga ruilen.
tegoedbon,voucher,Topic 9,Goods return,Ik zie tegoedbon.
telefonisch,by telephone,Topic 9,Goods return,Ik zie telefonisch.
terugkrijgen,to get back,Topic 9,Goods return,Ik ga terugkrijgen.
terugstorten,to refund,Topic 9,Goods return,Ik ga terugstorten.
terugsturen,to send back,Topic 9,Goods return,Ik ga terugsturen.
tijd,time,Topic 9,Goods return,Ik zie tijd.
voorwaarde,condition,Topic 9,Goods return,Ik zie voorwaarde.
aantal,number,Topic 9,Buying second hand,Ik zie aantal.
argument,argument,Topic 9,Buying second hand,Ik zie argument.
bekijken,to look at,Topic 9,Buying second hand,Ik ga bekijken.
beoordeling,review,Topic 9,Buying second hand,Ik zie beoordeling.
beslissing,decision,Topic 9,Buying second hand,Ik zie beslissing.
betrouwbaar,reliable,Topic 9,Buying second hand,Ik zie betrouwbaar.
boek,book,Topic 9,Buying second hand,Ik zie boek.
gaaf,cool,Topic 9,Buying second hand,Ik zie gaaf.
kwaliteit,quality,Topic 9,Buying second hand,Ik zie kwaliteit.
laptop,laptop,Topic 9,Buying second hand,Ik zie laptop.
letten op,to pay attention to,Topic 9,Buying second hand,Ik zie letten op.
minstens,at least,Topic 9,Buying second hand,Ik zie minstens.
noemen,to mention,Topic 9,Buying second hand,Ik ga noemen.
nogal,quite,Topic 9,Buying second hand,Ik zie nogal.
opruiming,clearance sale,Topic 9,Buying second hand,Ik zie opruiming.
rotzooi,inferior product,Topic 9,Buying second hand,Ik zie rotzooi.
stukgaan,to break down,Topic 9,Buying second hand,Ik zie stukgaan.
twijfelen,to doubt,Topic 9,Buying second hand,Ik ga twijfelen.
verdienen,to earn,Topic 9,Buying second hand,Ik ga verdienen.
vinger,finger,Topic 9,Buying second hand,Ik zie vinger.
waar,true,Topic 9,Buying second hand,Ik zie waar.
afgeven,to hand off,Topic 9,Returning packages,Ik ga afgeven.
artikel,article,Topic 9,Returning packages,Ik zie artikel.
dichtmaken,to close,Topic 9,Returning packages,Ik ga dichtmaken.
inloggen,to log in,Topic 9,Returning packages,Ik ga inloggen.
juist,right,Topic 9,Returning packages,Ik zie juist.
klikken,to click,Topic 9,Returning packages,Ik ga klikken.
leggen,to lay,Topic 9,Returning packages,Ik ga leggen.
locatie,location,Topic 9,Returning packages,Ik zie locatie.
maat,size,Topic 9,Returning packages,Ik zie maat.
ontvangen,to receive,Topic 9,Returning packages,Ik ga ontvangen.
order,order,Topic 9,Returning packages,Ik zie order.
